the;137;117;79;50;48
u;33;18;19;9;6
to;102;81;45;32;5
a;97;91;44;25;29
and;71;62;39;28;21
of;59;62;36;24;32
it;49;59;32;15;22
in;63;41;32;20;28
is;64;63;28;17;3
that;51;56;33;25;6
on;48;28;20;11;16
they;36;48;17;10;0
for;47;34;19;8;7
i;32;30;14;13;0
you;33;31;14;15;0
over;35;15;13;11;33
this;37;30;7;10;4
s;18;9;27;16;32
not;27;30;19;9;1
with;22;19;14;9;16
have;27;29;13;8;7
we;24;29;10;9;0
was;29;19;22;9;1
are;19;33;7;13;2
it_s;16;34;12;8;0
our;31;13;4;9;0
us;21;18;12;7;4
at;12;19;9;17;4
just;21;17;8;6;9
so;20;24;6;5;0
be;24;27;5;6;0
about;25;18;10;6;0
from;16;19;13;6;3
has;20;10;14;5;14
but;20;18;10;8;0
or;16;19;7;2;8
all;18;23;5;9;0
as;9;15;11;4;5
were;9;9;6;4;16
if;17;24;5;6;0
there;16;18;7;4;0
said;3;2;15;0;31
one;10;10;5;4;14
no;14;16;7;2;0
do;15;9;6;7;0
more;8;14;4;3;9
their;12;11;8;3;0
been;10;16;5;6;6
had;12;4;5;3;13
when;21;4;4;4;0
he;16;1;3;5;0
would;14;17;5;0;0
an;12;8;2;6;6
how;8;14;7;4;0
can;9;20;6;3;0
why;6;19;6;2;0
don_t;13;11;4;5;0
by;9;3;12;3;0
now;9;7;6;1;0
his;13;0;1;11;0
those;9;8;4;4;4
com;5;4;14;4;2
think;11;8;5;4;0
out;9;9;3;4;0
them;7;10;3;5;2
because;9;14;4;3;0
take;6;8;4;4;0
also;5;6;8;3;6
who;13;4;0;5;0
other;10;10;5;4;0
make;11;10;4;1;0
could;9;13;3;2;0
than;5;16;2;3;0
even;10;10;4;3;0
its;4;10;5;1;4
which;5;5;6;0;10
up;14;5;0;5;0
didn_t;12;6;3;3;0
my;7;6;4;3;0
any;5;10;8;1;0
off;5;4;4;2;0
into;4;7;8;3;0
get;9;9;2;2;0
your;7;5;4;3;0
did;11;5;4;4;1
around;4;4;4;0;12
before;6;7;4;1;3
mean;8;7;3;1;0
being;6;7;4;1;0
says;3;2;4;2;12
go;11;4;2;1;0
two;6;0;2;1;13
then;8;5;4;2;0
some;5;8;3;3;0
only;6;4;6;2;0
me;7;7;0;1;0
across;5;1;3;0;13
i_m;4;5;1;3;1
during;1;0;3;12;0
doesn_t;9;7;3;0;0
will;8;0;4;2;0
where;3;7;1;3;0
see;5;9;1;1;0
right;8;3;3;2;0
never;6;2;1;8;0
want;5;8;2;2;0
while;6;1;3;0;6
that_s;5;8;2;1;0
since;5;4;1;1;5
got;5;4;2;1;2
3;3;5;0;5;2
very;7;6;3;0;0
three;2;1;1;6;6
there_s;7;6;1;0;0
such;1;1;4;0;11
does;4;6;4;0;0
look;4;6;2;4;0
least;1;4;2;9;0
every;5;6;0;0;1
can_t;3;7;1;1;0
after;6;4;2;3;0
through;6;1;1;1;6
should;6;4;1;1;0
say;5;1;4;3;0
going;7;2;1;0;1
ever;3;2;2;2;0
2;2;5;0;2;1
way;5;3;3;0;0
really;4;4;1;2;0
probably;2;6;0;1;0
much;5;4;2;2;0
last;5;1;0;0;4
anything;6;2;2;3;0
2023;4;1;5;1;0
used;5;4;2;0;0
until;4;1;3;3;1
under;4;2;1;5;0
too;4;5;2;1;0
though;3;3;2;0;0
they_re;5;6;1;0;0
these;3;5;1;2;0
second;0;2;1;0;9
nothing;7;4;0;2;0
most;4;4;1;0;0
maybe;4;5;0;1;0
getting;5;3;1;1;0
first;3;2;2;1;3
000;3;4;2;1;0
something;5;5;1;1;0
six;0;0;0;0;12
same;4;1;0;3;0
either;0;1;3;0;6
eight;0;0;0;0;12
course;0;4;5;0;0
come;5;2;2;0;0
another;3;0;5;0;2
someone;1;8;2;0;0
seen;1;3;1;1;4
own;4;3;1;2;1
little;6;4;0;0;0
isn_t;2;4;3;1;0
he_s;6;0;2;0;0
etc;4;2;2;1;0
actually;2;6;2;0;0
4;1;5;2;3;0
yes;2;2;1;0;0
we_re;3;3;1;1;0
took;4;1;1;2;0
new;2;1;0;2;5
near;4;1;0;1;3
here;2;2;2;1;0
f;4;2;0;1;0
everyone;2;2;0;2;0
couldn_t;3;5;0;0;0
already;1;4;2;0;0
1;1;4;1;2;0
wasn_t;3;2;3;1;0
use;1;5;0;2;0
still;2;3;0;2;0
likely;2;5;1;0;0
again;1;2;1;2;1
above;0;1;3;1;4
won_t;3;2;0;0;0
without;4;0;3;1;0
what_s;1;2;0;0;0
themselves;1;3;3;1;0
taken;1;3;4;0;0
sure;4;4;0;0;0
possible;2;1;3;0;0
oh;5;1;1;0;0
might;1;2;1;1;0
him;5;0;0;2;0
former;0;0;2;4;0
exactly;0;3;1;0;0
especially;1;4;1;1;0
zero;4;2;0;0;0
you_re;2;1;0;1;0
whole;3;1;2;1;0
needs;1;2;2;1;0
done;3;1;2;1;0
doing;2;4;1;0;0
clearly;0;2;3;1;0
better;3;0;0;1;0
away;4;0;1;1;0
anyone;3;2;0;0;0
am;0;3;1;0;0
wouldn_t;2;3;0;0;0
wants;1;3;0;0;0
try;1;1;1;1;0
seems;1;3;0;0;0
plus;2;2;0;1;0
please;2;2;0;0;0
once;0;3;0;0;0
may;1;3;0;1;0
many;2;2;1;1;0
less;2;3;0;0;0
i_ve;3;0;1;1;0
given;3;3;0;0;0
everything;2;2;1;0;0
different;1;1;1;1;0
between;2;1;1;0;1
appear;0;0;4;0;0
5;2;1;1;0;2
24;0;0;1;0;5
we_ve;2;2;0;1;0
w;2;0;0;1;0
via;1;1;1;0;0
trying;1;1;1;0;0
tried;1;1;1;1;0
somehow;1;2;0;2;0
self;0;2;0;0;2
saying;2;1;2;0;0
outside;2;2;0;1;0
let_s;4;0;0;0;0
knows;1;2;1;0;0
help;2;0;1;0;1
haven_t;1;3;1;0;0
few;1;1;2;0;0
enough;3;1;1;0;0
ask;2;2;0;0;0
among;2;2;0;0;0
13;0;0;0;0;5
100;2;3;0;0;0
10;3;1;0;1;0
whether;0;1;3;0;0
whatever;2;2;0;0;0
using;0;3;1;0;0
useful;0;4;0;0;0
truly;1;2;0;1;0
she;1;2;0;0;0
several;0;1;1;1;0
serious;2;0;1;0;0
r;1;3;0;0;0
name;1;0;1;1;0
must;1;3;0;0;0
known;1;3;0;0;0
however;2;0;0;1;0
having;3;0;0;1;0
goes;2;1;0;0;0
gets;2;1;0;1;0
five;0;0;0;0;4
else;0;2;0;1;0
certainly;2;0;0;1;0
came;2;0;1;0;0
both;1;0;1;1;1
best;1;1;1;1;0
according;2;0;1;1;0
able;1;2;0;0;0
90;0;2;0;1;0
9;2;0;0;1;0
8;0;1;0;0;3
20;2;1;0;0;0
12;1;0;1;1;0
yourself;2;0;0;1;0
you_ve;1;1;0;1;0
yet;1;1;1;0;0
weren_t;1;0;0;2;0
various;0;2;0;1;0
third;1;1;0;1;0
they_ve;1;1;1;0;0
sorry;2;0;0;1;0
rather;0;2;0;1;0
others;1;2;0;0;0
ones;2;1;0;0;0
often;0;3;0;0;0
later;0;0;2;0;1
instead;0;2;0;1;0
ignored;2;0;0;1;0
here_s;1;0;1;1;0
four;0;1;1;1;0
everywhere;0;2;0;1;0
definitely;2;1;0;0;0
considering;0;2;1;0;0
comes;1;0;1;0;1
brief;0;1;2;0;0
behind;1;1;1;0;0
always;1;1;1;0;0
50;2;0;0;1;0
2020;0;0;2;1;0
2015;0;1;2;0;0
03;0;0;2;1;0
02;1;0;2;0;0