"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8"
"balloon";0,726;0,706;0,706;0,726;0,686;0,706;0,026;0,726
"chinese";0,232;0,226;0,226;0,262;0,195;0,329;0,157;0,232
"taiwan";0,073;0,001;0,012;0,01;0,003;0,005;0,202;0,002
"fly";0,045;0,067;0,001;0,045;0,427;0,009;0,228;0,045
"island";0,072;0,027;0;0,072;0,038;0,052;0,194;0,968
"ministry";0,109;0,008;0;0,109;0,065;0,084;0,587;0,797
"detect";0,161;0,706;0;0,161;0,473;0,131;0,869;0,161
"https";0,372;0,335;0,1;0,625;0,007;0,335;0,246;0,372
"strait";0,262;0;0,226;0,262;0,195;0,226;0,648;0,262
"report";0,206;0;0,173;0,206;0,145;0,173;0,006;0,206
"defense";0,294;0,986;0;0,294;0,226;0,258;0,173;0,866
"defence";0,262;0,002;0,329;0,262;0,195;0,226;0,648;0,972
"cross";0,331;0;0,294;0,751;0,262;0,294;0,384;0,331
"day";0,161;0,706;0,001;0,689;0,106;0,131;0,508;0,548
"administration";0,262;0,226;0,226;0,262;0,004;0;0,145;0,262
"trump";0,161;0,131;0,131;0,161;0;0,001;0,069;0,161
"directly";0,331;0,294;0;0,331;0,262;0,294;0,206;0,331
"year";0,538;0,506;0,506;0,197;0,007;0,506;0,423;0,538
"taipei";0,538;0,506;0;0,538;0,477;0,506;0,423;0,538
"shoot";0,232;0,198;0,198;0;0,168;0,421;0,526;0,232
"election";0,206;0,173;0,173;0,206;0,145;0,173;0;0,053
"time";0,331;0,009;0,294;0,331;0,232;0,866;0,844;0,331
"saturday";0,473;0,439;0,439;0,009;0,408;0,439;0,351;0,009
"month";0,372;0,1;0,335;0,372;0,303;0,335;0,001;0,372
"military";0,294;0,258;0,986;0,866;0,039;0,243;0,722;0,294
"surveillance";0,419;0,383;0,586;0,488;0,002;0,383;0,294;0,419
"spot";0,866;0,258;0,258;0,166;0,329;0,258;0,722;0,166
"spate";0,473;0,018;0,439;0,473;0,408;0,439;0,351;0,009
"official";0,538;0,506;0,506;0,001;0,317;0,506;0,423;0,538
"airspace";0,197;0,506;0,506;0,538;0,007;0,506;0,423;0,538
"state";0,419;0,383;0,383;0,488;0;0,383;0,294;0,419
"china";0,866;0,258;0,243;0,294;0,226;0,243;0,722;0,166
"biden";0,294;0,258;0,258;0,294;0,039;0;0,173;0,294
"activity";0,419;0,05;0,383;0,419;0,351;0,383;0,007;0,419
"presidential";0,331;0,294;0,294;0,331;0,262;0,294;0;0,331
"january";0,419;0,383;0,383;0,419;0,351;0,383;0;0,419
"sunday";0,538;0,506;0,003;0,538;0,477;0,256;0,423;0,538
"start";0,538;0,003;0,506;0,538;0,477;0,506;0,438;0,538
"spy";0,419;0,383;0,383;0,488;0,002;0,586;0,294;0,419
"sighting";0,419;0,383;0,383;0,419;0,351;0,383;0;0,419
"safety";0,372;0,335;0,335;0,372;0,303;0,335;0,246;0
"intelligence";0,538;0,506;0,256;0,538;0,477;0,003;0,423;0,538
"high";0,538;0,506;0,506;0,538;0,477;0,506;0;0,538
"continental";0,372;0,335;0,335;0,001;0,007;0,335;0,246;0,372
"unite";0,419;0,383;0,383;0,488;0;0,383;0,294;0,419
"threat";0,473;0,439;0,439;0,473;0,408;0,018;0,351;0,009
"taiwanese";0,473;0,018;0,439;0,473;0,408;0,439;0,351;0,009
"straight";0,419;0,383;0;0,419;0,351;0,383;0,294;0,419
"row";0,473;0,018;0,439;0,473;0,408;0,439;0,069;0,473
"aware";0,419;0,383;0,383;0,419;0,351;0;0,294;0,419
"aviation";0,419;0,383;0,383;0,419;0,351;0,383;0,294;0
"warfare";0,473;0,439;0,439;0,473;0,408;0,439;0,351;0
"threaten";0,473;0,439;0,439;0,473;0,408;0,439;0,351;0
"recent";0,538;0,506;0,256;0,538;0,477;0,506;0,423;0,001
"psychological";0,473;0,439;0,439;0,473;0,408;0,439;0,351;0
"parliamentary";0,473;0,439;0,439;0,473;0,408;0,439;0;0,473
"claim";0,473;0,439;0,439;0,473;0,031;0,425;0,657;0,473
"air";0,473;0,425;0,425;0,343;0,408;0,439;0,351;0,343
"tension";0,538;0,256;0,506;0,538;0,477;0,506;0,019;0,538
"president";0,538;0,506;0,506;0,538;0;0,506;0,423;0,538
"occasion";0,538;0,506;0,506;0,538;0;0,506;0,423;0,538
"multiple";0,538;0,506;0,506;0,197;0,477;0,506;0,019;0,538
"line";0,538;0,256;0,003;0,538;0,477;0,506;0,423;0,538
"learn";0,538;0,506;0,256;0,538;0,477;0,003;0,423;0,538
"important";0,001;0,506;0,506;0,197;0,477;0,506;0,423;0,538
"happen";0,538;0,506;0,506;0,538;0,007;0,256;0,423;0,538
"early";0,538;0,506;0,506;0,538;0,317;0,003;0,423;0,538
"drift";0,197;0,506;0,506;0,001;0,477;0,506;0,423;0,538
"coast";0,538;0,506;0,506;0,197;0,477;0,003;0,423;0,538
"begin";0,538;0,506;0,506;0,538;0,477;0,256;0,019;0,538
"approach";0,538;0,506;0,506;0,538;0,477;0,506;0;0,538
"american";0,538;0,506;0,506;0,538;0,317;0,003;0,423;0,538
"ahead";0,538;0,506;0,506;0,538;0,477;0,506;0;0,538
"additional";0,538;0,506;0,506;0,538;0,477;0;0,423;0,538
"fait";1;1;1;1;1;1;1;1
"*id_775904867898898";1;1;1;1;1;1;1;1
"*id_10160114601274160";0,618;0,59;0,59;0,618;0;0,59;0,517;0,618
"*phase_Après";0,537;0,005;0,041;0,002;0;0,001;0,007;0,01
"*id_678379907782506";0,618;0,59;0,59;0,618;0,565;0,59;0,001;0,618
"*platform_Facebook";1;1;1;1;1;1;1;1
"*id_6336052586407540";0,726;0,706;0,706;0,726;0,686;0,007;0,649;0,726
"*phase_Pic";0,062;0,044;0,232;0,463;0;0;0,015;0,062
"*id_10161139794274300";0,726;0,706;0,706;0,726;0,686;0,007;0,649;0,726
"*id_771143475196610";0,618;0,59;0;0,618;0,565;0,59;0,517;0,618
"*id_765222945644684";0,618;0,59;0,59;0,618;0,565;0,59;0,517;0
"débunkage";0,537;0,005;0,041;0,002;0;0,001;0,007;0,01
"*id_10159747517141408";0;0,59;0,59;0,618;0,565;0,59;0,517;0,618
"*id_6148531251881822";0,618;0,59;0,59;0;0,565;0,59;0,517;0,618
"*id_774439091393513";1;1;1;1;1;1;1;1
"*id_811595517678757";0,618;0,59;0;0,618;0,565;0,59;0,517;0,618
"*id_10160886137242444";0;0,59;0,59;0,618;0,565;0,59;0,517;0,618
"*id_782939367350354";1;1;1;1;1;1;1;1
"*id_801706851997523";1;1;1;1;1;1;1;1
"*phase_Fin";0;0,226;0,226;0;0,195;0,906;0,145;0,262
"du";1;1;1;1;1;1;1;1
"*id_866680028656064";0,618;0;0,59;0,618;0,565;0,59;0,517;0,618
"*id_787930600044362";0,618;0,59;0;0,618;0,565;0,59;0,517;0,618
"*id_10168202689905712";1;1;1;1;1;1;1;1
"*id_878401554150578";1;1;1;1;1;1;1;1
"*id_671368948527826";0,618;0,59;0,59;0,618;0,565;0,59;0,001;0,618
"*id_609200551245622";0,538;0,506;0,506;0,538;0,477;0;0,423;0,538
"*id_769236291894499";1;1;1;1;1;1;1;1
